,home,place,match_id,team_name,score,overs,rr,bata,batsr,bbp,balla,eco,ballsr,dbp,wickets_lost,sum_extras,nb,w,lb,pen,b,datetime,winner
0,1,West End Park International Cricket Stadium,100373,Afghanistan,237,50,4.74,39.5,64.43142857142857,23.323353073699813,25.875,3.861666666666668,38.875,59.63282247765006,6,9,2.0,4.0,3.0,0.0,0.0,2022-01-23 07:00:00,1
1,0,West End Park International Cricket Stadium,100373,Netherlands,189,47.4,3.96,18.9,52.64727272727273,27.905318575633206,30.0,4.708333333333334,34.5,51.62698412698413,10,15,0.0,9.0,6.0,0.0,0.0,2022-01-23 07:00:00,0
2,1,West End Park International Cricket Stadium,100374,Afghanistan,254,50,5.08,50.8,96.76285714285714,43.361251759642094,22.361111111111114,4.088333333333334,33.05555555555556,59.269802929223225,5,17,3.0,7.0,2.0,5.0,0.0,2022-01-25 07:00:00,1
3,0,West End Park International Cricket Stadium,100374,Netherlands,179,42.4,4.19,17.9,44.33909090909091,11.66364499697833,34.6,5.1825,44.4,51.64186507936508,10,12,0.0,7.0,5.0,0.0,0.0,2022-01-25 07:00:00,0
4,1,West End Park International Cricket Stadium,100375,Afghanistan,222,50,4.44,27.75,76.82249999999999,35.21756866505725,15.611111111111112,3.956666666666667,25.0,60.16203703703704,8,11,4.0,7.0,0.0,0.0,0.0,2022-01-21 07:00:00,1
5,0,West End Park International Cricket Stadium,100375,Netherlands,186,48,3.87,18.6,58.255,29.52600875060768,25.56666666666667,4.011428571428572,33.6,57.61243386243386,10,15,0.0,10.0,5.0,0.0,0.0,2022-01-21 07:00:00,0
6,1,Zahur Ahmed Chowdhury Stadium,100489,Bangladesh,219,48.5,4.48,36.5,54.321250000000006,36.02598566308244,17.43333333333333,4.243333333333333,22.2,55.52469135802469,6,15,0.0,4.0,11.0,0.0,0.0,2022-02-23 05:00:00,1
7,0,Zahur Ahmed Chowdhury Stadium,100489,Afghanistan,215,49.1,4.37,21.5,54.102,29.67631185874336,25.166666666666668,4.72,45.0,58.973429951690825,10,18,0.0,13.0,5.0,0.0,0.0,2022-02-23 05:00:00,0
8,1,Zahur Ahmed Chowdhury Stadium,100490,Bangladesh,306,50,6.12,76.5,80.15666666666667,39.1964525822255,25.214285714285715,3.7928571428571423,30.142857142857142,64.44444444444444,4,33,0.0,18.0,11.0,0.0,4.0,2022-02-25 05:00:00,1
9,0,Zahur Ahmed Chowdhury Stadium,100490,Afghanistan,218,45.1,4.82,21.8,67.99363636363636,33.07066815687505,47.0,6.425714285714286,48.0,47.55952380952381,10,15,1.0,7.0,7.0,0.0,0.0,2022-02-25 05:00:00,0
10,1,Zahur Ahmed Chowdhury Stadium,100491,Bangladesh,192,46.5,4.09,19.2,53.71818181818182,22.369512094670657,32.75,4.391428571428572,42.0,56.315192743764165,10,9,0.0,7.0,1.0,0.0,1.0,2022-02-28 05:00:00,0
11,0,Zahur Ahmed Chowdhury Stadium,100491,Afghanistan,193,40.1,4.8,64.33333333333333,55.798,27.48913230486896,22.20833333333333,4.21,33.25,53.12253743104807,3,2,0.0,2.0,0.0,0.0,0.0,2022-02-28 05:00:00,1
12,1,Pallekele International Cricket Stadium,101689,Sri Lanka,234,38,6.15,23.4,76.63090909090909,39.68736254832511,47.2,5.842857142857142,46.8,41.72619047619048,10,13,0.0,8.0,5.0,0.0,0.0,2022-11-25 09:00:00,0
13,0,Pallekele International Cricket Stadium,101689,Afghanistan,294,50,5.88,36.75,87.226,25.035970318989182,21.645833333333336,7.075,23.875,48.7037037037037,8,10,0.0,6.0,3.0,0.0,1.0,2022-11-25 09:00:00,1
14,1,Pallekele International Cricket Stadium,101691,Sri Lanka,314,49.4,6.32,52.333333333333336,93.66125,47.98972408195452,39.875,6.024285714285715,39.5,47.08333333333332,6,15,1.0,13.0,1.0,0.0,0.0,2022-11-30 09:00:00,1
15,0,Pallekele International Cricket Stadium,101691,Afghanistan,313,50,6.26,39.125,97.37888888888888,39.61783072894184,18.625,6.590000000000001,22.5,44.04693486590039,8,8,0.0,4.0,3.0,0.0,1.0,2022-11-30 09:00:00,0
16,1,Mahinda Rajapaksa International Cricket Stadium,102114,Sri Lanka,268,50,5.36,26.8,71.03363636363636,35.11870435596864,37.16666666666666,5.681666666666668,36.333333333333336,53.060841441344586,10,17,1.0,14.0,2.0,0.0,0.0,2023-06-02 04:30:00,0
17,0,Mahinda Rajapaksa International Cricket Stadium,102114,Afghanistan,269,46.5,5.74,67.25,87.25666666666667,49.10187927731787,35.916666666666664,5.308333333333334,41.5,52.67305996472663,4,30,1.0,22.0,6.0,0.0,1.0,2023-06-02 04:30:00,1
18,1,Mahinda Rajapaksa International Cricket Stadium,102115,Sri Lanka,323,50,6.46,53.833333333333336,118.71375,46.23984864780165,20.0,4.743333333333333,25.0,53.55599647266313,6,19,0.0,10.0,3.0,0.0,6.0,2023-06-04 04:30:00,1
19,0,Mahinda Rajapaksa International Cricket Stadium,102115,Afghanistan,191,42.1,4.52,19.1,42.22454545454545,17.367914736335788,41.375,6.586666666666666,42.75,44.89858906525573,10,7,0.0,5.0,2.0,0.0,0.0,2023-06-04 04:30:00,0
